"collection_id","site","species","length_sl_mm"
"NFM08-146","6","Brevoortia patronus",20.7
"NFM08-146","6","Brevoortia patronus",20.74
"NFM08-146","6","Brevoortia patronus",20.76
"NFM08-146","6","Brevoortia patronus",20.77
"NFM08-146","6","Brevoortia patronus",20.77
"NFM08-146","6","Brevoortia patronus",20.92
"NFM08-146","6","Brevoortia patronus",20.97
"NFM08-146","6","Brevoortia patronus",21.07
"NFM08-146","6","Brevoortia patronus",21.22
"NFM08-146","6","Brevoortia patronus",22.3
"NFM08-146","6","Brevoortia patronus",22.56
"NFM08-146","6","Lagodon rhomboides",11.8
"NFM08-146","6","Lagodon rhomboides",11.94
"NFM08-146","6","Lagodon rhomboides",12.22
"NFM08-146","6","Lagodon rhomboides",12.24
"NFM08-146","6","Lagodon rhomboides",12.48
"NFM08-146","6","Lagodon rhomboides",12.51
"NFM08-146","6","Lagodon rhomboides",12.65
"NFM08-146","6","Lagodon rhomboides",12.67
"NFM08-146","6","Lagodon rhomboides",12.74
"NFM08-146","6","Lagodon rhomboides",12.75
"NFM08-146","6","Lagodon rhomboides",12.78
"NFM08-146","6","Lagodon rhomboides",12.91
"NFM08-146","6","Lagodon rhomboides",12.95
"NFM08-146","6","Lagodon rhomboides",12.98
"NFM08-146","6","Lagodon rhomboides",12.99
"NFM08-146","6","Lagodon rhomboides",13
"NFM08-146","6","Lagodon rhomboides",13.05
"NFM08-146","6","Lagodon rhomboides",13.06
"NFM08-146","6","Lagodon rhomboides",13.09
"NFM08-146","6","Lagodon rhomboides",13.11
"NFM08-146","6","Lagodon rhomboides",13.13
"NFM08-146","6","Lagodon rhomboides",13.16
"NFM08-146","6","Lagodon rhomboides",13.21
"NFM08-146","6","Lagodon rhomboides",13.28
"NFM08-146","6","Lagodon rhomboides",13.32
"NFM08-146","6","Lagodon rhomboides",13.38
"NFM08-146","6","Lagodon rhomboides",13.43
"NFM08-146","6","Lagodon rhomboides",13.49
"NFM08-146","6","Lagodon rhomboides",13.53
"NFM08-146","6","Lagodon rhomboides",13.66
"NFM08-146","6","Lagodon rhomboides",13.68
"NFM08-146","6","Lagodon rhomboides",13.7
"NFM08-146","6","Lagodon rhomboides",13.71
"NFM08-146","6","Lagodon rhomboides",13.78
"NFM08-146","6","Lagodon rhomboides",13.8
"NFM08-146","6","Lagodon rhomboides",13.81
"NFM08-146","6","Lagodon rhomboides",13.84
"NFM08-146","6","Lagodon rhomboides",13.84
"NFM08-146","6","Lagodon rhomboides",13.86
"NFM08-146","6","Lagodon rhomboides",13.88
"NFM08-146","6","Lagodon rhomboides",13.89
"NFM08-146","6","Lagodon rhomboides",13.91
"NFM08-146","6","Lagodon rhomboides",13.96
"NFM08-146","6","Lagodon rhomboides",14.04
"NFM08-146","6","Lagodon rhomboides",14.07
"NFM08-146","6","Lagodon rhomboides",14.09
"NFM08-146","6","Lagodon rhomboides",14.24
"NFM08-146","6","Lagodon rhomboides",14.28
"NFM08-146","6","Lagodon rhomboides",14.36
"NFM08-146","6","Lagodon rhomboides",14.38
"NFM08-146","6","Lagodon rhomboides",14.42
"NFM08-146","6","Lagodon rhomboides",14.46
"NFM08-146","6","Lagodon rhomboides",14.47
"NFM08-146","6","Lagodon rhomboides",14.56
"NFM08-146","6","Lagodon rhomboides",14.71
"NFM08-146","6","Lagodon rhomboides",14.99
"NFM08-146","6","Leiostomus xanthurus",10.8
"NFM08-146","6","Leiostomus xanthurus",11.29
"NFM08-146","6","Leiostomus xanthurus",11.39
"NFM08-146","6","Leiostomus xanthurus",11.42
"NFM08-146","6","Leiostomus xanthurus",11.55
"NFM08-146","6","Leiostomus xanthurus",11.56
"NFM08-146","6","Leiostomus xanthurus",11.68
"NFM08-146","6","Leiostomus xanthurus",11.98
"NFM08-146","6","Leiostomus xanthurus",12
"NFM08-146","6","Leiostomus xanthurus",12.05
"NFM08-146","6","Leiostomus xanthurus",12.07
"NFM08-146","6","Leiostomus xanthurus",12.1
"NFM08-146","6","Leiostomus xanthurus",12.36
"NFM08-146","6","Leiostomus xanthurus",12.37
"NFM08-146","6","Leiostomus xanthurus",12.37
"NFM08-146","6","Leiostomus xanthurus",12.38
"NFM08-146","6","Leiostomus xanthurus",12.52
"NFM08-146","6","Leiostomus xanthurus",12.57
"NFM08-146","6","Leiostomus xanthurus",12.57
"NFM08-146","6","Leiostomus xanthurus",12.6
"NFM08-146","6","Leiostomus xanthurus",12.7
"NFM08-146","6","Leiostomus xanthurus",12.79
"NFM08-146","6","Leiostomus xanthurus",12.83
"NFM08-146","6","Leiostomus xanthurus",12.91
"NFM08-146","6","Leiostomus xanthurus",12.92
"NFM08-146","6","Leiostomus xanthurus",12.94
"NFM08-146","6","Leiostomus xanthurus",12.96
"NFM08-146","6","Leiostomus xanthurus",13
"NFM08-146","6","Leiostomus xanthurus",13
"NFM08-146","6","Leiostomus xanthurus",13.01
"NFM08-146","6","Leiostomus xanthurus",13.1
"NFM08-146","6","Leiostomus xanthurus",13.1
"NFM08-146","6","Leiostomus xanthurus",13.15
"NFM08-146","6","Leiostomus xanthurus",13.18
"NFM08-146","6","Leiostomus xanthurus",13.18
"NFM08-146","6","Leiostomus xanthurus",13.2
"NFM08-146","6","Leiostomus xanthurus",13.32
"NFM08-146","6","Leiostomus xanthurus",13.34
"NFM08-146","6","Leiostomus xanthurus",13.41
"NFM08-146","6","Leiostomus xanthurus",13.52
"NFM08-146","6","Leiostomus xanthurus",13.53
"NFM08-146","6","Leiostomus xanthurus",13.58
"NFM08-146","6","Leiostomus xanthurus",13.59
"NFM08-146","6","Leiostomus xanthurus",13.73
"NFM08-146","6","Leiostomus xanthurus",13.76
"NFM08-146","6","Leiostomus xanthurus",13.79
"NFM08-146","6","Leiostomus xanthurus",13.79
"NFM08-146","6","Leiostomus xanthurus",13.88
"NFM08-146","6","Leiostomus xanthurus",14.03
"NFM08-146","6","Leiostomus xanthurus",14.08
"NFM08-146","6","Leiostomus xanthurus",14.1
"NFM08-146","6","Leiostomus xanthurus",14.14
"NFM08-146","6","Leiostomus xanthurus",14.15
"NFM08-146","6","Leiostomus xanthurus",14.28
"NFM08-146","6","Leiostomus xanthurus",14.31
"NFM08-146","6","Leiostomus xanthurus",14.32
"NFM08-146","6","Leiostomus xanthurus",14.37
"NFM08-146","6","Leiostomus xanthurus",14.43
"NFM08-146","6","Leiostomus xanthurus",14.59
"NFM08-146","6","Leiostomus xanthurus",14.64
"NFM08-146","6","Leiostomus xanthurus",14.67
"NFM08-146","6","Leiostomus xanthurus",14.68
"NFM08-146","6","Leiostomus xanthurus",14.76
"NFM08-146","6","Leiostomus xanthurus",14.76
"NFM08-146","6","Leiostomus xanthurus",14.77
"NFM08-146","6","Leiostomus xanthurus",14.78
"NFM08-146","6","Leiostomus xanthurus",14.88
"NFM08-146","6","Leiostomus xanthurus",14.92
"NFM08-146","6","Leiostomus xanthurus",14.96
"NFM08-146","6","Leiostomus xanthurus",14.99
"NFM08-146","6","Leiostomus xanthurus",15.07
"NFM08-146","6","Leiostomus xanthurus",15.09
"NFM08-146","6","Leiostomus xanthurus",15.09
"NFM08-146","6","Leiostomus xanthurus",15.47
"NFM08-146","6","Leiostomus xanthurus",15.5
"NFM08-146","6","Leiostomus xanthurus",15.67
"NFM08-146","6","Leiostomus xanthurus",15.95
"NFM08-146","6","Leiostomus xanthurus",16.14
"NFM08-146","6","Leiostomus xanthurus",16.61
"NFM08-146","6","Leiostomus xanthurus",16.93
"NFM08-146","6","Mugil cephalus",17.8
"NFM08-146","6","Mugil cephalus",17.98
"NFM08-146","6","Mugil cephalus",18.68
"NFM08-146","6","Mugil cephalus",18.88
"NFM08-146","6","Mugil cephalus",19.32
"NFM08-146","6","Mugil cephalus",19.47
"NFM08-146","6","Mugil cephalus",19.61
"NFM08-146","6","Mugil cephalus",19.64
"NFM08-146","6","Mugil cephalus",19.89
"NFM08-146","6","Mugil cephalus",20.13
"NFM08-146","6","Mugil cephalus",20.29
"NFM08-146","6","Mugil cephalus",20.41
"NFM08-146","6","Mugil cephalus",20.66
"NFM08-146","6","Mugil cephalus",20.78
"NFM08-146","6","Mugil cephalus",20.8
"NFM08-146","6","Mugil cephalus",20.93
"NFM08-146","6","Mugil cephalus",20.95
"NFM08-146","6","Mugil cephalus",21.01
"NFM08-146","6","Mugil cephalus",21.01
"NFM08-146","6","Mugil cephalus",21.07
"NFM08-146","6","Mugil cephalus",21.16
"NFM08-146","6","Mugil cephalus",21.16
"NFM08-146","6","Mugil cephalus",21.23
"NFM08-146","6","Mugil cephalus",21.26
"NFM08-146","6","Mugil cephalus",21.36
"NFM08-146","6","Mugil cephalus",21.46
"NFM08-146","6","Mugil cephalus",21.47
"NFM08-146","6","Mugil cephalus",21.53
"NFM08-146","6","Mugil cephalus",21.56
"NFM08-146","6","Mugil cephalus",21.56
"NFM08-146","6","Mugil cephalus",21.62
"NFM08-146","6","Mugil cephalus",21.62
"NFM08-146","6","Mugil cephalus",21.83
"NFM08-146","6","Mugil cephalus",21.85
"NFM08-146","6","Mugil cephalus",21.86
"NFM08-146","6","Mugil cephalus",21.86
"NFM08-146","6","Mugil cephalus",21.86
"NFM08-146","6","Mugil cephalus",21.87
"NFM08-146","6","Mugil cephalus",22
"NFM08-146","6","Mugil cephalus",22.01
"NFM08-146","6","Mugil cephalus",22.01
"NFM08-146","6","Mugil cephalus",22.01
"NFM08-146","6","Mugil cephalus",22.06
"NFM08-146","6","Mugil cephalus",22.06
"NFM08-146","6","Mugil cephalus",22.07
"NFM08-146","6","Mugil cephalus",22.09
"NFM08-146","6","Mugil cephalus",22.09
"NFM08-146","6","Mugil cephalus",22.14
"NFM08-146","6","Mugil cephalus",22.14
"NFM08-146","6","Mugil cephalus",22.15
"NFM08-146","6","Mugil cephalus",22.18
"NFM08-146","6","Mugil cephalus",22.2
"NFM08-146","6","Mugil cephalus",22.2
"NFM08-146","6","Mugil cephalus",22.22
"NFM08-146","6","Mugil cephalus",22.32
"NFM08-146","6","Mugil cephalus",22.37
"NFM08-146","6","Mugil cephalus",22.4
"NFM08-146","6","Mugil cephalus",22.4
"NFM08-146","6","Mugil cephalus",22.4
"NFM08-146","6","Mugil cephalus",22.41
"NFM08-146","6","Mugil cephalus",22.45
"NFM08-146","6","Mugil cephalus",22.45
"NFM08-146","6","Mugil cephalus",22.47
"NFM08-146","6","Mugil cephalus",22.51
"NFM08-146","6","Mugil cephalus",22.54
"NFM08-146","6","Mugil cephalus",22.59
"NFM08-146","6","Mugil cephalus",22.59
"NFM08-146","6","Mugil cephalus",22.6
"NFM08-146","6","Mugil cephalus",22.6
"NFM08-146","6","Mugil cephalus",22.62
"NFM08-146","6","Mugil cephalus",22.62
"NFM08-146","6","Mugil cephalus",22.63
"NFM08-146","6","Mugil cephalus",22.64
"NFM08-146","6","Mugil cephalus",22.65
"NFM08-146","6","Mugil cephalus",22.66
"NFM08-146","6","Mugil cephalus",22.66
"NFM08-146","6","Mugil cephalus",22.71
"NFM08-146","6","Mugil cephalus",22.77
"NFM08-146","6","Mugil cephalus",22.79
"NFM08-146","6","Mugil cephalus",22.84
"NFM08-146","6","Mugil cephalus",22.84
"NFM08-146","6","Mugil cephalus",22.85
"NFM08-146","6","Mugil cephalus",22.87
"NFM08-146","6","Mugil cephalus",22.89
"NFM08-146","6","Mugil cephalus",22.9
"NFM08-146","6","Mugil cephalus",22.92
"NFM08-146","6","Mugil cephalus",22.92
"NFM08-146","6","Mugil cephalus",22.92
"NFM08-146","6","Mugil cephalus",22.94
"NFM08-146","6","Mugil cephalus",22.94
"NFM08-146","6","Mugil cephalus",22.95
"NFM08-146","6","Mugil cephalus",22.96
"NFM08-146","6","Mugil cephalus",22.97
"NFM08-146","6","Mugil cephalus",22.99
"NFM08-146","6","Mugil cephalus",23
"NFM08-146","6","Mugil cephalus",23
"NFM08-146","6","Mugil cephalus",23.02
"NFM08-146","6","Mugil cephalus",23.04
"NFM08-146","6","Mugil cephalus",23.04
"NFM08-146","6","Mugil cephalus",23.06
"NFM08-146","6","Mugil cephalus",23.06
"NFM08-146","6","Mugil cephalus",23.08
"NFM08-146","6","Mugil cephalus",23.09
"NFM08-146","6","Mugil cephalus",23.13
"NFM08-146","6","Mugil cephalus",23.14
"NFM08-146","6","Mugil cephalus",23.14
"NFM08-146","6","Mugil cephalus",23.19
"NFM08-146","6","Mugil cephalus",23.25
"NFM08-146","6","Mugil cephalus",23.26
"NFM08-146","6","Mugil cephalus",23.26
"NFM08-146","6","Mugil cephalus",23.27
"NFM08-146","6","Mugil cephalus",23.27
"NFM08-146","6","Mugil cephalus",23.29
"NFM08-146","6","Mugil cephalus",23.33
"NFM08-146","6","Mugil cephalus",23.36
"NFM08-146","6","Mugil cephalus",23.37
"NFM08-146","6","Mugil cephalus",23.42
"NFM08-146","6","Mugil cephalus",23.44
"NFM08-146","6","Mugil cephalus",23.45
"NFM08-146","6","Mugil cephalus",23.46
"NFM08-146","6","Mugil cephalus",23.48
"NFM08-146","6","Mugil cephalus",23.5
"NFM08-146","6","Mugil cephalus",23.51
"NFM08-146","6","Mugil cephalus",23.51
"NFM08-146","6","Mugil cephalus",23.52
"NFM08-146","6","Mugil cephalus",23.54
"NFM08-146","6","Mugil cephalus",23.55
"NFM08-146","6","Mugil cephalus",23.55
"NFM08-146","6","Mugil cephalus",23.56
"NFM08-146","6","Mugil cephalus",23.58
"NFM08-146","6","Mugil cephalus",23.58
"NFM08-146","6","Mugil cephalus",23.6
"NFM08-146","6","Mugil cephalus",23.63
"NFM08-146","6","Mugil cephalus",23.63
"NFM08-146","6","Mugil cephalus",23.69
"NFM08-146","6","Mugil cephalus",23.7
"NFM08-146","6","Mugil cephalus",23.71
"NFM08-146","6","Mugil cephalus",23.71
"NFM08-146","6","Mugil cephalus",23.73
"NFM08-146","6","Mugil cephalus",23.76
"NFM08-146","6","Mugil cephalus",23.77
"NFM08-146","6","Mugil cephalus",23.78
"NFM08-146","6","Mugil cephalus",23.78
"NFM08-146","6","Mugil cephalus",23.82
"NFM08-146","6","Mugil cephalus",23.84
"NFM08-146","6","Mugil cephalus",23.85
"NFM08-146","6","Mugil cephalus",23.85
"NFM08-146","6","Mugil cephalus",23.86
"NFM08-146","6","Mugil cephalus",23.87
"NFM08-146","6","Mugil cephalus",23.88
"NFM08-146","6","Mugil cephalus",23.9
"NFM08-146","6","Mugil cephalus",23.91
"NFM08-146","6","Mugil cephalus",23.91
"NFM08-146","6","Mugil cephalus",23.92
"NFM08-146","6","Mugil cephalus",23.95
"NFM08-146","6","Mugil cephalus",23.96
"NFM08-146","6","Mugil cephalus",23.97
"NFM08-146","6","Mugil cephalus",23.98
"NFM08-146","6","Mugil cephalus",24
"NFM08-146","6","Mugil cephalus",24.01
"NFM08-146","6","Mugil cephalus",24.01
"NFM08-146","6","Mugil cephalus",24.01
"NFM08-146","6","Mugil cephalus",24.02
"NFM08-146","6","Mugil cephalus",24.06
"NFM08-146","6","Mugil cephalus",24.07
"NFM08-146","6","Mugil cephalus",24.08
"NFM08-146","6","Mugil cephalus",24.1
"NFM08-146","6","Mugil cephalus",24.1
"NFM08-146","6","Mugil cephalus",24.1
"NFM08-146","6","Mugil cephalus",24.13
"NFM08-146","6","Mugil cephalus",24.15
"NFM08-146","6","Mugil cephalus",24.16
"NFM08-146","6","Mugil cephalus",24.17
"NFM08-146","6","Mugil cephalus",24.18
"NFM08-146","6","Mugil cephalus",24.19
"NFM08-146","6","Mugil cephalus",24.19
"NFM08-146","6","Mugil cephalus",24.2
"NFM08-146","6","Mugil cephalus",24.2
"NFM08-146","6","Mugil cephalus",24.2
"NFM08-146","6","Mugil cephalus",24.21
"NFM08-146","6","Mugil cephalus",24.21
"NFM08-146","6","Mugil cephalus",24.22
"NFM08-146","6","Mugil cephalus",24.22
"NFM08-146","6","Mugil cephalus",24.24
"NFM08-146","6","Mugil cephalus",24.24
"NFM08-146","6","Mugil cephalus",24.27
"NFM08-146","6","Mugil cephalus",24.29
